"","Species","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","troph_level","Dim.1","Dim.2"
"292","Micropterus punctulatus",64,3.347326272,0.619045718,0.304379901,0.551825412,0.760531979,0.515434809,0.386563502,0.164817295,2.64564865,3.56,-0.256447064407819,-0.0374692086245826
"293","Micropterus salmoides",97,2.897989032,0.598507859,0.271130617,0.546138912,0.84366518,0.471328002,0.326692452,0.172997466,2.367404334,3.84,-0.967658856118721,-0.564920697133214
"294","Minytrema melanops",50,4.20919788,0.501766784,0.272235108,0.130742049,0.170665397,0.597215548,0.155477032,0.204057579,3.780000605,3.43,-0.459682054956732,-1.56196516120746
"295","Misgurnus anguillicaudatus",28,6.754390351,0.497109649,0.235894757,0.158328947,0.604365024730418,0.520600877,0.169592105,0.110659668,1.343433219,3.24,1.81104261875046,-2.47375158766565
"296","Misgurnus fossilis",30,7.466360508,0.454787158,0.191796586,0.164344414,0.578322677065894,0.518909773,0.13868115,0.15485468647551,2.006729063,3.4,1.64410591324769,-2.70258743864809
"297","Mogurnda adspersa",14,3.810604144,0.506177865,0.240054697,0.511360011,0.309559366,0.611504142,0.466007988,0.151081879,1.655642611,3.45,0.495043180707481,0.439891339082237
"298","Mormyrops anguilloides",150,4.907806275,0.45791416,0.196333333,0.373726174,0.348126984,0.342404331,0.326610251,0.126894514,3.905529628,3.77,-0.256404499463972,-3.18608238763295
"299","Mormyrops breviceps",65,8.565067843,0.580067688486654,0.381706932868682,0.443929826268512,0.695079121811735,0.582408198,0.357383042096891,0.158931819505287,2.704009434,3.3,2.96695961668278,-0.976421637511548
"300","Mormyrus hasselquistii",50,4.623678822,0.465260421,0.191568084,0.22397041,0.156643702,0.457117548,0.316934666,0.106126596,3.445124034,3.2,-0.0659749648588362,-2.49430632309186
"301","Mormyrus rume",100,3.865539614,0.447265641,0.254776262,0.214530319,0.22088226,0.379057029,0.322974393,0.141278595,3.241779773,2.48,-1.44794784775097,-2.24709495380969
