"","Site","Country","HydroBasin","taxnovel","funcnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"1376","G7648","FRA",2080021030,TRUE,FALSE,0,196,0.777777777777778,0.0699763381234425,0.28439028243329
"1377","G7649","FRA",2080021030,FALSE,FALSE,0,25,1,1.22743083175442,-0.782787304171522
"1378","G7651","FRA",2080021030,FALSE,FALSE,0,100,0.625,-0.725773626247854,-0.314726959169411
"1379","G7652","FRA",2080021030,FALSE,FALSE,0,25,0.714285714285714,-0.260724945771122,-0.782787304171522
"1380","G7653","FRA",2080021030,TRUE,FALSE,0,64,0.444444444444444,-1.66620540232302,-0.539395924770424
"1381","G7654","FRA",2080021030,TRUE,FALSE,0,36,0.428571428571429,-1.74888072329666,-0.714138453571212
"1382","G7656","FRA",2080021030,FALSE,FALSE,0,100,0.476190476190476,-1.50085476037574,-0.314726959169411
"1383","G7658","FRA",2080021030,FALSE,FALSE,0,256,0.842105263157895,0.40502895470083,0.658838558434978
"1384","G7662","FRA",2080021030,FALSE,FALSE,0,64,1,1.22743083175442,-0.539395924770424
"1385","G7663","FRA",2080021030,FALSE,TRUE,0,256,0.842105263157895,0.40502895470083,0.658838558434978
"1386","G7701","FRA",2080022150,FALSE,FALSE,0,425,0.853395061728395,0.463832381095094,1.71353453583973
"1387","G7702","FRA",2080022970,FALSE,FALSE,0,482,0.811645299145299,0.246376854700856,2.06926039804134
"1388","G7703","FRA",2080022970,TRUE,FALSE,0,269,0.852173913043478,0.457471972947726,0.739969018235343
"1389","G7710","FRA",2080022150,FALSE,FALSE,0,125,1,1.22743083175442,-0.158706844168708
"1390","G7713","FRA",2080022150,FALSE,FALSE,0,100,0.526315789473684,-1.23977479940635,-0.314726959169411
"1391","G7714","FRA",2080022970,FALSE,FALSE,0,121,0.578947368421053,-0.965640840388484,-0.183670062568821
"1392","G7715","BEL",2080022970,FALSE,FALSE,0,25,0.25,-2.67897808425013,-0.782787304171522
"1393","G7718","FRA",2080022970,FALSE,FALSE,0,25,0.833333333333333,0.359339961531187,-0.782787304171522
"1394","G7719","FRA",2080022970,FALSE,FALSE,0,81,0.529411764705882,-1.2236492724053,-0.433302246569946
"1395","G7721","FRA",2080022150,FALSE,FALSE,0,144,0.705882352941177,-0.304494233345403,-0.0401315567681734
"1396","G7722","FRA",2080022150,FALSE,FALSE,0,196,0.777777777777778,0.0699763381234425,0.28439028243329
"1397","G7724","FRA",2080022150,FALSE,FALSE,0,256,0.941176470588235,0.921045818734455,0.658838558434978
"1398","G7725","FRA",2080022970,FALSE,FALSE,0,100,0.526315789473684,-1.23977479940635,-0.314726959169411
"1399","G7726","FRA",2080022150,TRUE,FALSE,0,81,0.529411764705882,-1.2236492724053,-0.433302246569946
"1400","G7727","FRA",2080022150,FALSE,FALSE,0,169,0.722222222222222,-0.219387285284302,0.11588855823253
"1401","G7729","FRA",2080022150,FALSE,FALSE,0,100,0.625,-0.725773626247854,-0.314726959169411
"1402","G7731","FRA",2080022150,FALSE,FALSE,0,196,0.777777777777778,0.0699763381234425,0.28439028243329
"1403","G7732","FRA",2080022150,FALSE,FALSE,0,36,0.352941176470588,-2.14280431146519,-0.714138453571212
"1404","G7734","FRA",2080022150,FALSE,FALSE,0,106,0.697619047619048,-0.347534032793446,-0.277282131569243
"1405","G7735","FRA",2080022150,FALSE,FALSE,0,100,0.526315789473684,-1.23977479940635,-0.314726959169411
"1406","G7736","FRA",2080022150,FALSE,FALSE,0,64,0.615384615384615,-0.775855791837656,-0.539395924770424
"1407","G7737","FRA",2080022150,FALSE,FALSE,0,81,0.5625,-1.05130770258157,-0.433302246569946
"1408","G7740","FRA",2080022150,FALSE,FALSE,0,125,0.75,-0.0747054735804297,-0.158706844168708
"1409","G7743","FRA",2080022150,FALSE,FALSE,0,169,0.684210526315789,-0.417372922352758,0.11588855823253
"1410","G7744","FRA",2080022150,TRUE,TRUE,0,144,0.8,0.18572178748654,-0.0401315567681734
"1411","G7745","FRA",2080022150,FALSE,FALSE,0,144,0.666666666666667,-0.508750908692046,-0.0401315567681734
"1412","G7746","FRA",2080022150,FALSE,FALSE,0,289,0.944444444444444,0.938067208346675,0.864785110235906
"1413","G7747","BEL",2080022970,FALSE,FALSE,0,25,1,1.22743083175442,-0.782787304171522
"1414","G7748","FRA",2080022150,TRUE,FALSE,0,169,0.764705882352941,0.00189077967456112,0.11588855823253
"1415","G7749","FRA",2080022150,FALSE,FALSE,0,25,0.454545454545455,-1.61359383443071,-0.782787304171522
"1416","G7753","FRA",2080022150,FALSE,FALSE,0,64,0.533333333333333,-1.20322360487063,-0.539395924770424
"1417","G7756","FRA",2080022970,FALSE,FALSE,0,121,0.733333333333333,-0.161514560602753,-0.183670062568821
"1418","G7757","FRA",2080022150,FALSE,FALSE,0,196,0.777777777777778,0.0699763381234425,0.28439028243329
"1419","G7761","FRA",2080022150,FALSE,FALSE,0,25,0.714285714285714,-0.260724945771122,-0.782787304171522
"1420","G7769","FRA",2080022970,FALSE,FALSE,0,25,0.416666666666667,-1.8108872140269,-0.782787304171522
"1421","G7791","FRA",2080023010,TRUE,FALSE,0,500,0.664253393665158,-0.52132055025184,2.18159488084184
"1422","G7805","FRA",2080023010,TRUE,FALSE,0,169,0.684210526315789,-0.417372922352758,0.11588855823253
"1423","G7811","FRA",2080048190,FALSE,FALSE,0,81,1,1.22743083175442,-0.433302246569946
"1424","G7827","FRA",2080020620,FALSE,FALSE,0,100,0.588235294117647,-0.917264259385332,-0.314726959169411
"1425","G7829","FRA",2080016510,FALSE,FALSE,0,36,0.666666666666667,-0.508750908692046,-0.714138453571212
"1426","G7830","FRA",2080020620,FALSE,FALSE,0,36,0.857142857142857,0.483352942991648,-0.714138453571212
"1427","G7840","FRA",2080016510,FALSE,FALSE,0,49,0.538461538461538,-1.17651311655607,-0.633007993770846
"1428","G7841","FRA",2080020620,FALSE,FALSE,0,144,0.857142857142857,0.483352942991648,-0.0401315567681734
"1429","G7852","FRA",2080023010,FALSE,FALSE,0,64,0.888888888888889,0.648703584938931,-0.539395924770424
"1430","G7853","FRA",2080016510,FALSE,FALSE,0,25,0.625,-0.725773626247854,-0.782787304171522
"1431","G7862","FRA",2080020620,FALSE,FALSE,0,121,0.733333333333333,-0.161514560602753,-0.183670062568821
"1432","G7881","FRA",2080023010,FALSE,FALSE,0,121,0.578947368421053,-0.965640840388484,-0.183670062568821
"1433","G7883","FRA",2080022360,FALSE,FALSE,0,144,0.631578947368421,-0.691506881370622,-0.0401315567681734
"1434","G7884","FRA",2080022180,FALSE,FALSE,0,49,0.636363636363636,-0.666585612368998,-0.633007993770846
"1435","G7886","FRA",2080022150,FALSE,FALSE,0,49,1,1.22743083175442,-0.633007993770846
"1436","G7887","FRA",2080022150,TRUE,FALSE,0,100,0.625,-0.725773626247854,-0.314726959169411
"1437","G7889","FRA",2080022240,FALSE,FALSE,0,100,0.555555555555556,-1.08747815550753,-0.314726959169411
"1438","G7890","FRA",2080022360,FALSE,FALSE,0,25,0.5,-1.37684177891528,-0.782787304171522
"1439","G7897","FRA",2080022320,FALSE,FALSE,0,36,1,1.22743083175442,-0.714138453571212
"1440","G7899","FRA",2080022150,FALSE,TRUE,0,169,1,1.22743083175442,0.11588855823253
"1441","G7900","FRA",2080022150,FALSE,FALSE,0,49,1,1.22743083175442,-0.633007993770846
