SourceID,SiteID,TimeSeriesID,Protocol,Latitude,Longitude,BioRealm,HydroBasin,Country,Region,Province,Waterbody,
2,S12831,G62,Electrofishing,-20.63824,-50.15321,Neotropics,6080016970,BRA,SAO PAULO,FLOREAL,UNNAMED TRIBUTARY CORREGO AGUA BRANCA,
2,S12858,G89,Electrofishing,-20.71771,-49.81197,Neotropics,6080016970,BRA,SAO PAULO,POLONI,CORREGO LAJEADO,
2,S12859,G90,Electrofishing,-20.14451,-50.7331,Neotropics,6080016970,BRA,SAO PAULO,ASPASIA,CORREGO DA ESTIVA,
2,S12860,G91,Electrofishing,-19.9912,-50.62257,Neotropics,6080016970,BRA,SAO PAULO,MESOPOLIS,UNNAMED TRIBUTARY CORREGO DO ARARA,
2,S12861,G92,Electrofishing,-20.14337,-50.7764,Neotropics,6080016970,BRA,SAO PAULO,SANTA RITA DO OESTE,UNNAMED TRIBUTARY CORREGO DA ONCA,
2,S12862,G93,Electrofishing,-20.13372,-50.81627,Neotropics,6080016970,BRA,SAO PAULO,SANTA RITA DO OESTE,UNNAMED TRIBUTARY CORREGO DO ESCONDIDO,
2,S12863,G94,Electrofishing,-20.07965,-50.94168,Neotropics,6080016970,BRA,SAO PAULO,SANTA CLARA DO OESTE,CORREGO DO CONTRA,
2,S12864,G95,Electrofishing,-20.68827,-49.88537,Neotropics,6080016970,BRA,SAO PAULO,SEBASTIANOPOLIS DO SUL,CORREGO DO GOMES,
2,S12865,G96,Electrofishing,-20.61324,-49.9687,Neotropics,6080016970,BRA,SAO PAULO,SEBASTIANOPOLIS DO SUL,CORREGO DO MENDES,
2,S12866,G97,Electrofishing,-20.5424,-49.93576,Neotropics,6080016970,BRA,SAO PAULO,VOTUPORANGA,CORREGO SANTO ANTONIO,
2,S12832,G63,Electrofishing,-20.59793,-50.28219,Neotropics,6080016970,BRA,SAO PAULO,MAGDA,CORREGO GRANDE,
2,S12833,G64,Electrofishing,-20.47607,-49.88742,Neotropics,6080016970,BRA,SAO PAULO,COSMORAMA,UNNAMED TRIBUTARY RIBEIRAO DO PRATA,
2,S12834,G65,Electrofishing,-20.44457,-50.26374,Neotropics,6080016970,BRA,SAO PAULO,MERIDIANO,CORREGO SAO DOMINGOS,
2,S12835,G66,Electrofishing,-20.32976,-50.28488,Neotropics,6080016970,BRA,SAO PAULO,FERNANDOPOLIS,RIBEIRAO JAGORA,
2,S12836,G67,Electrofishing,-20.31471,-50.38514,Neotropics,6080016970,BRA,SAO PAULO,ESTRELA DO OESTE,UNNAMED TRIBUTARY RIBEIRAO RANCHAO,
2,S12837,G68,Electrofishing,-20.52857,-50.3213,Neotropics,6080016970,BRA,SAO PAULO,SAO JOAO DE IRACEMA,SALTINHO DA BOA VISTA,
3,S6002,G98,Electrofishing_and_netting,7.021083,-75.05875,Neotropics,6080000740,COL,ANTIOQUIA,AMALFI,BOQUERON,
3,S9152,G99,Electrofishing_and_netting,6.908472,-75.17631,Neotropics,6080000740,COL,ANTIOQUIA,ANORI,BRAMADORA,
3,S10446,G100,Electrofishing_and_netting,6.899194,-75.17472,Neotropics,6080000740,COL,ANTIOQUIA,AMALFI,LA UNION,
4,S3775,G142,Electrofishing_backpack,46.88877,17.49636,Palearctic,2080008490,HUN,VESZPREM,TAPOLCA,EGER-VIZ,GUARAGUACU
4,S9443,G115,Electrofishing_backpack,46.54869,17.29626,Palearctic,2080008490,HUN,SOMOGY,MARCALI,MAROTVOLGYI-CSATORNA,GUARAGUACU
4,S1933,G121,Electrofishing_backpack,46.7507,17.84632,Palearctic,2080008490,HUN,SOMOGY,BALATONFOLDVARI,BUDOSGATI-VIZ,GUARAGUACU
4,S8631,G108,Electrofishing_backpack,46.64444,17.64629,Palearctic,2080008490,HUN,SOMOGY,LENGYELTOTI,HALSOK-AROK,GUARAGUACU
