"","Species","troph_level","troph_cat"
"612","Schilbe intermedius",3.6,"Food"
"613","Schilbe mandibularis",3.44,"Food"
"614","Schizodon nasutus",2.83,"Food"
"615","Semotilus corporalis",3.41,"Food"
"616","Serrasalmus maculatus",4.07,"Food"
"617","Serrasalmus marginatus",3.55,"Food"
"618","Sorubim lima",4.09999990463257,"Food"
"619","Steindachnerina insculpta",2.07999992370605,"Food"
"620","Sternopygus macrurus",3.22,"Food"
"621","Synbranchus marmoratus",2.76,"Food"
"622","Synodontis ocellifer",3.12,"Food"
"623","Synodontis schall",2.92,"Food"
"624","Tandanus tandanus",3.31,"Food"
"625","Telestes souffia",3.37,"Food"
"626","Thymallus thymallus",3.14000010490417,"Food"
"627","Trachelyopterus galeatus",3.14,"Food"
"628","Trachydoras paraguayensis",2.66,"Food"
"629","Trachystoma petardi",2.34,"Food"
"630","Trichomycterus striatus",3.2,"Food"
"631","Umbra pygmaea",3.25,"Food"
"632","Xiphophorus hellerii",3.19,"Food"
"633","Xiphophorus maculatus",3.2,"Food"
"634","Zingel asper",3.26999998092651,"Food"
