"","SpecCode","Suporder","Order","Family","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","Type.of.illustration","Reference","Species"
"7173",53353,"Teleostei","Characiformes","Characidae",8.2,2.601746976,0.555928841,0.458639768,0.580049754,0.617188456,0.588412683,0.136042587,0.180125131,3.078374636,"Photograph","http://www.wikipeixes.com.br/","Roeboides xenodon"
"7174",54583,"Teleostei","Characiformes","Cynodontidae",14.2,2.747222917,0.61875,0.457674555,0.7000625,0.588806302,0.512509375,0.271946875,0.262272431,2.487945305,"Photograph","Menezes N.A. & Lucena A.S. (1998) Revision of the subfamily Roestinae (Ostariophysi: Characiformes: Cynodontidae). Ichthyological Exploration of Freshwaters 9.","Roestes itupiranga"
"7175",53435,"Teleostei","Characiformes","Cynodontidae",21.6,2.557159966,0.608521937,0.474002146,0.715675532,0.577995489,0.529131651,0.211184214,0.325107578,2.845850007,"Photograph","Menezes N.A. & Lucena A.S. (1998) Revision of the subfamily Roestinae (Ostariophysi: Characiformes: Cynodontidae). Ichthyological Exploration of Freshwaters 9.","Roestes molossus"
"7176",53358,"Teleostei","Characiformes","Cynodontidae",19,3.082253178,0.65140678,0.43219865,0.751169492,0.156562957,0.598489407,0.220338983,0.254509568,1.065139958,"Photograph","Gery J. (1977) Characoids of the world. TFH Publications, 672 pages.","Roestes ogilviei"
"7177",13202,"Teleostei","Cypriniformes","Cyprinidae",50,2.391301264,0.41777031,0.470660419,0.41777031,0.41215471,0.338224825,0.271705905,0.200813405,2.060093115,"Drawing","Jayaram K.C. (2010) The freshwater fishes of the Indian Region. NHBS, Narendra Publishing House. 616 pages.","Rohtee ogilbii"
"7178",6315,"Teleostei","Perciformes","Percidae",11,4.744077448,0.71686823,0.308507292,0.385806662,0.587892951,0.660786803,0.419808904,0.218824969,3.084458333,"Drawing","Web Museo della Fauna Europea (http://ittiofauna.org/)","Romanichthys valsanicola"
"7179",25894,"Teleostei","Cypriniformes","Cyprinidae",13,4.973865093,0.626965943,0.392536784,0.247068075,NA,0.601763038,0.2322337,NA,2.709869799,"Photograph","Fishes of Ukrainia (http://fish.kiev.ua)","Romanogobio albipinnatus"
"7180",47836,"Teleostei","Cypriniformes","Cyprinidae",15,4.755475567,0.630450663,0.368600295,0.345428947,NA,0.585012419,0.337526066,0.208141662,2.859456309,"Photograph","Fish Barcode of Life (fishbol.org)","Romanogobio ciscaucasicus"
"7181",25911,"Teleostei","Cypriniformes","Cyprinidae",13,6.833306568,0.611931909,0.462885815,0.119613511,0.296246922,0.72277983,0.2903351,NA,2.619923897,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Romanogobio kesslerii"
"7182",51867,"Teleostei","Cypriniformes","Cyprinidae",13,5.040935018,0.615302749,0.43473693,0.31456213,0.455035522,0.482379278,0.230678895,0.182608066,3.112383333,"Drawing","Atlas Russie","Romanogobio pentatrichus"
"7183",47347,"Teleostei","Cypriniformes","Cyprinidae",16,4.988337955,0.570624694,0.412412126,0.111299136,0.223844514,0.640943565,0.244637906,0.17408897,2.215760897,"Photograph","http://www.vniro.ru/ru/filialy/khabarovskij-filial-fgbnu-vniro-khabarovskniro","Romanogobio tenuicorpus"
"7184",12073,"Teleostei","Cypriniformes","Cyprinidae",15,5.874545708,0.598108118,0.454919579,0.162430827,NA,0.704643594,0.184287505,0.192245429,2.721832718,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Romanogobio uranoscopus"
"7185",46574,"Teleostei","Perciformes","Cichlidae",7.22,2.269895221,0.484020247,0.274609277,0.390538079,0.337432164,0.656728735,0.290245871,0.253440484,2.24894202,"Photograph","Unpublished","Rondonacara hoehnei"
"7186",8416,"Teleostei","Cypriniformes","Cyprinidae",70,3.795173646,0.564551262,0.210683034,0.456980102,0.421366069,0.435626178,0.341466996,0.136923072,2.74995001,"Photograph","Web Museo della Fauna Europea (http://ittiofauna.org/)","Rutilus frisii"
