"","Site","Country","HydroBasin","taxnovel","funcnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"1288","G7718","FRA",2080022970,FALSE,FALSE,0,25,0.833333333333333,0.415926033164727,-0.779638836941463
"1289","G7719","FRA",2080022970,FALSE,FALSE,0,81,0.529411764705882,-1.15773006380542,-0.43466791207156
"1290","G7721","FRA",2080022150,FALSE,FALSE,0,144,0.705882352941177,-0.243994265564691,-0.0465756215929189
"1291","G7722","FRA",2080022150,FALSE,FALSE,0,196,0.777777777777778,0.128268467051904,0.273754522929134
"1292","G7724","FRA",2080022150,FALSE,FALSE,0,256,0.941176470588235,0.974320132089619,0.643366228146887
"1293","G7725","FRA",2080022970,FALSE,FALSE,0,100,0.526315789473684,-1.17376051640614,-0.317624205419271
"1294","G7726","FRA",2080022150,TRUE,FALSE,0,81,0.529411764705882,-1.15773006380542,-0.43466791207156
"1295","G7727","FRA",2080022150,FALSE,FALSE,0,169,0.722222222222222,-0.15938909906092,0.107429255581145
"1296","G7729","FRA",2080022150,FALSE,FALSE,0,100,0.625,-0.662789839758361,-0.317624205419271
"1297","G7731","FRA",2080022150,FALSE,FALSE,0,196,0.777777777777778,0.128268467051904,0.273754522929134
"1298","G7732","FRA",2080022150,FALSE,FALSE,0,36,0.352941176470588,-2.07146586204616,-0.711876690984875
"1299","G7734","FRA",2080022150,FALSE,FALSE,0,106,0.697619047619048,-0.286780306910885,-0.280663034897496
"1300","G7735","FRA",2080022150,FALSE,FALSE,0,100,0.526315789473684,-1.17376051640614,-0.317624205419271
"1301","G7736","FRA",2080022150,FALSE,FALSE,0,64,0.615384615384615,-0.712576726200965,-0.539391228549923
"1302","G7737","FRA",2080022150,FALSE,FALSE,0,81,0.5625,-0.986404601635287,-0.43466791207156
"1303","G7740","FRA",2080022150,FALSE,FALSE,0,125,0.75,-0.0155603160045082,-0.163619328245207
"1304","G7743","FRA",2080022150,FALSE,FALSE,0,169,0.684210526315789,-0.356207433769694,0.107429255581145
"1305","G7744","FRA",2080022150,TRUE,FALSE,0,144,0.8,0.243331493497033,-0.0465756215929189
"1306","G7745","FRA",2080022150,FALSE,FALSE,0,144,0.666666666666667,-0.447046665173744,-0.0465756215929189
"1307","G7746","FRA",2080022150,FALSE,FALSE,0,289,0.944444444444444,0.991241165390374,0.846652666016651
"1308","G7747","BEL",2080022970,FALSE,FALSE,0,25,1,1.2788987315032,-0.779638836941463
"1309","G7748","FRA",2080022150,TRUE,FALSE,0,169,0.764705882352941,0.060584333848886,0.107429255581145
"1310","G7749","FRA",2080022150,FALSE,FALSE,0,25,0.454545454545455,-1.54537555396816,-0.779638836941463
"1311","G7753","FRA",2080022150,FALSE,FALSE,0,64,0.533333333333333,-1.13742482384452,-0.539391228549923
"1312","G7756","FRA",2080022970,FALSE,FALSE,0,121,0.733333333333333,-0.101857585838355,-0.188260108593058
"1313","G7757","FRA",2080022150,FALSE,FALSE,0,196,0.777777777777778,0.128268467051904,0.273754522929134
"1314","G7761","FRA",2080022150,FALSE,FALSE,0,25,0.714285714285714,-0.200483037077037,-0.779638836941463
"1315","G7769","FRA",2080022970,FALSE,FALSE,0,25,0.416666666666667,-1.74150571268145,-0.779638836941463
"1316","G7791","FRA",2080023010,TRUE,FALSE,0,500,0.664253393665158,-0.459542197457377,2.14645382936575
"1317","G7805","FRA",2080023010,TRUE,FALSE,0,169,0.684210526315789,-0.356207433769694,0.107429255581145
"1318","G7811","FRA",2080048190,FALSE,FALSE,0,81,1,1.2788987315032,-0.43466791207156
"1319","G7827","FRA",2080020620,FALSE,FALSE,0,100,0.588235294117647,-0.853151464391847,-0.317624205419271
"1320","G7829","FRA",2080016510,FALSE,FALSE,0,36,0.666666666666667,-0.447046665173744,-0.711876690984875
"1321","G7830","FRA",2080020620,FALSE,FALSE,0,36,0.857142857142857,0.53920784721308,-0.711876690984875
"1322","G7840","FRA",2080016510,FALSE,FALSE,0,49,0.538461538461538,-1.1108718177418,-0.631794154854362
"1323","G7841","FRA",2080020620,FALSE,FALSE,0,144,0.857142857142857,0.53920784721308,-0.0465756215929189
"1324","G7852","FRA",2080023010,FALSE,FALSE,0,64,0.888888888888889,0.70358359927755,-0.539391228549923
"1325","G7853","FRA",2080016510,FALSE,FALSE,0,25,0.625,-0.662789839758361,-0.779638836941463
"1326","G7862","FRA",2080020620,FALSE,FALSE,0,121,0.733333333333333,-0.101857585838355,-0.188260108593058
"1327","G7881","FRA",2080023010,FALSE,FALSE,0,121,0.578947368421053,-0.901242822193991,-0.188260108593058
"1328","G7883","FRA",2080022360,FALSE,FALSE,0,144,0.631578947368421,-0.628725127981843,-0.0465756215929189
"1329","G7884","FRA",2080022180,FALSE,FALSE,0,49,0.636363636363636,-0.603950792144374,-0.631794154854362
"1330","G7886","FRA",2080022150,FALSE,FALSE,0,49,1,1.2788987315032,-0.631794154854362
"1331","G7887","FRA",2080022150,TRUE,FALSE,0,100,0.625,-0.662789839758361,-0.317624205419271
"1332","G7889","FRA",2080022240,FALSE,FALSE,0,100,0.555555555555556,-1.02236179739939,-0.317624205419271
"1333","G7890","FRA",2080022360,FALSE,FALSE,0,25,0.5,-1.31001936351221,-0.779638836941463
"1334","G7897","FRA",2080022320,FALSE,FALSE,0,36,1,1.2788987315032,-0.711876690984875
"1335","G7899","FRA",2080022150,FALSE,FALSE,0,169,1,1.2788987315032,0.107429255581145
"1336","G7900","FRA",2080022150,FALSE,FALSE,0,49,1,1.2788987315032,-0.631794154854362
"1337","G7901","FRA",2080022150,TRUE,FALSE,0,169,0.722222222222222,-0.15938909906092,0.107429255581145
"1338","G7902","FRA",2080022130,FALSE,FALSE,0,49,1,1.2788987315032,-0.631794154854362
"1339","G7905","FRA",2080022150,FALSE,FALSE,0,100,1,1.2788987315032,-0.317624205419271
"1340","G7908","FRA",2080023010,FALSE,FALSE,0,100,0.588235294117647,-0.853151464391847,-0.317624205419271
