"","Site","Country","HydroBasin","taxnovel","trophnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"27","G1054","USA","7080047060",TRUE,FALSE,0,596,0.908496732026144,0.772231285367508,3.00358001427603
"28","G1055","USA","7080047060",TRUE,FALSE,0,637,0.929411764705882,0.880710374548685,3.27488039296016
"29","G1057","USA","7080047060",TRUE,FALSE,0,50,0.5,-1.34650092520236,-0.609346979907723
"30","G10585","SWE","2080033120",TRUE,TRUE,1,961,0.861111111111111,0.526458348941404,5.41881509280546
"31","G10687","SWE","2080033190",TRUE,TRUE,0,289,0.653846153846154,-0.548553778821583,0.972135715348535
"32","G1070","USA","7080047060",TRUE,FALSE,0,482,0.861111111111111,0.526458348941404,2.24923261988602
"33","G10706","SWE","2080033010",TRUE,FALSE,0,25,0.454545454545455,-1.58225803663304,-0.774774040080972
"34","G1072","USA","7080047060",TRUE,TRUE,1,569,0.918614718614719,0.824709805783077,2.82491878928892
"35","G10727","SWE","2080033010",TRUE,FALSE,0,81,0.5625,-1.02233489698517,-0.404217425292895
"36","G10738","SWE","2080032230",TRUE,FALSE,0,64,0.533333333333333,-1.17361237681986,-0.516707826210704
"37","G10790","SWE","2080033010",TRUE,FALSE,0,225,1,1.24682730053516,0.548642441305018
"38","G10804","SWE","2080033190",TRUE,FALSE,0,324,0.620689655172414,-0.720525146576059,1.20373359959108
"39","G10828","SWE","2080033010",TRUE,TRUE,0,256,0.761904761904762,0.0119090978030081,0.753771995919846
"40","G10843","SWE","2080033080",TRUE,TRUE,1,25,1,1.24682730053516,-0.774774040080972
"41","G10846","SWE","2080033080",TRUE,FALSE,0,361,0.76,0.00202975218115122,1.44856564864749
"42","G10855","SWE","2080033190",TRUE,TRUE,1,484,0.785714285714286,0.135400918076223,2.26246678469987
"43","G10886","SWE","2080033190",TRUE,FALSE,0,225,0.46875,-1.50858393931095,0.548642441305018
"44","G10887","SWE","2080033190",TRUE,FALSE,0,169,0.481481481481481,-1.44255011874819,0.178085826516941
"45","G10894","SWE","2080033200",TRUE,FALSE,0,144,0.545454545454545,-1.11074381377167,0.0126587663436921
"46","G10908","SWE","2080033200",TRUE,FALSE,0,256,0.761904761904762,0.0119090978030081,0.753771995919846
"47","G10952","SWE","2080033080",TRUE,FALSE,0,225,1,1.24682730053516,0.548642441305018
"48","G10965","SWE","2080033200",TRUE,TRUE,1,361,0.633333333333333,-0.654946731672353,1.44856564864749
"49","G10994","SWE","2080033080",TRUE,FALSE,0,484,0.88,0.624428526358154,2.26246678469987
"50","G11014","SWE","2080033080",TRUE,FALSE,0,49,1,1.24682730053516,-0.615964062314653
"51","G11065","SWE","2080033290",TRUE,FALSE,0,225,0.6,-0.827835280054853,0.548642441305018
"52","G11091","SWE","2080032870",TRUE,FALSE,0,196,0.736842105263158,-0.118082291958271,0.356747051504049
"53","G11103","SWE","2080033290",TRUE,FALSE,0,25,0.454545454545455,-1.58225803663304,-0.774774040080972
"54","G11134","SWE","2080056770",TRUE,FALSE,0,25,0.833333333333333,0.382384558622653,-0.774774040080972
"55","G11148","SWE","2080033320",TRUE,FALSE,0,128,0.671328671328671,-0.457877966732858,-0.0932145521671871
"56","G11158","SWE","2080031960",TRUE,TRUE,1,484,0.956521739130435,1.02132049829711,2.26246678469987
"57","G11165","SWE","2080032870",TRUE,FALSE,0,81,0.692307692307692,-0.349066992226389,-0.404217425292895
"58","G11171","SWE","2080031960",TRUE,FALSE,0,484,0.956521739130435,1.02132049829711,2.26246678469987
"59","G11178","SWE","2080031960",TRUE,FALSE,0,169,0.722222222222222,-0.19391060265235,0.178085826516941
"60","G11194","SWE","2080033320",TRUE,FALSE,0,64,0.888888888888889,0.670532139260154,-0.516707826210704
"61","G11239","SWE","2080033320",TRUE,FALSE,0,81,0.642857142857143,-0.605550003563066,-0.404217425292895
"62","G11258","SWE","2080033330",TRUE,FALSE,0,64,0.363636363636364,-2.05377225949441,-0.516707826210704
"63","G11312","SWE","2080033330",TRUE,FALSE,0,196,1,1.24682730053516,0.356747051504049
"64","G11326","SWE","2080033330",TRUE,FALSE,0,74,0.58,-0.931568409084353,-0.450537002141404
"65","G11334","SWE","2080032020",TRUE,FALSE,0,196,0.736842105263158,-0.118082291958271,0.356747051504049
"66","G11346","SWE","2080033330",TRUE,FALSE,0,25,0.161290322580645,-3.10327165876648,-0.774774040080972
"67","G11372","SWE","2080033400",TRUE,FALSE,0,289,0.708333333333333,-0.265947497811725,0.972135715348535
"68","G11374","SWE","2080033400",TRUE,TRUE,0,361,0.791666666666667,0.166273873144527,1.44856564864749
"69","G11376","SWE","2080033400",TRUE,FALSE,0,361,0.730769230769231,-0.149580205631196,1.44856564864749
"70","G11469","SWE","2080033450",TRUE,TRUE,1,225,0.46875,-1.50858393931095,0.548642441305018
"71","G11489","SWE","2080031750",TRUE,FALSE,0,81,0.75,-0.0498368123335991,-0.404217425292895
"72","G11532","SWE","2080031750",TRUE,TRUE,1,36,0.75,-0.0498368123335991,-0.701986133604742
"73","G11546","SWE","2080031750",TRUE,FALSE,0,196,0.933333333333333,0.901050203770156,0.356747051504049
"74","G11553","SWE","2080031750",TRUE,TRUE,1,256,1,1.24682730053516,0.753771995919846
"75","G11556","SWE","2080031750",TRUE,FALSE,0,256,0.941176470588235,0.941729862213097,0.753771995919846
"76","G11559","SWE","2080031750",TRUE,FALSE,0,36,1,1.24682730053516,-0.701986133604742
"77","G11560","SWE","2080031750",TRUE,FALSE,0,289,1,1.24682730053516,0.972135715348535
"78","G11719","SWE","2080032600",TRUE,FALSE,0,576,0.96,1.03936104247616,2.87123836613743
"79","G11764","SWE","2080032500",TRUE,FALSE,0,25,0.384615384615385,-1.94496128498794,-0.774774040080972
"80","G11843","SWE","2080032600",TRUE,FALSE,0,529,0.851851851851852,0.478433752168487,2.56023549301172
"81","G11931","SWE","2080031740",TRUE,TRUE,1,169,0.866666666666667,0.555273107005154,0.178085826516941
"82","G12157","USA","7080008710",TRUE,FALSE,0,676,1,1.24682730053516,3.53294660683043
"83","G12178","USA","7080008710",TRUE,FALSE,0,576,0.923076923076923,0.847853727344771,2.87123836613743
"84","G12180","USA","7080008710",TRUE,FALSE,0,400,1,1.24682730053516,1.70663186251776
"85","G12181","USA","7080008710",TRUE,FALSE,0,400,1,1.24682730053516,1.70663186251776
"86","G12185","USA","7080008710",TRUE,FALSE,0,361,1,1.24682730053516,1.44856564864749
"87","G12195","USA","7080008710",TRUE,FALSE,0,625,1,1.24682730053516,3.195475404077
"88","G12786","ESP","2080016960",TRUE,TRUE,1,221,0.956709956709957,1.02229671822022,0.522174111677298
"89","G12793","ESP","2080016960",TRUE,FALSE,0,162,0.9,0.728161655387655,0.131766249668431
