"","Site","Country","HydroBasin","taxnovel","trophnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"155","G10342","SWE","2080033020",FALSE,FALSE,0,196,0.823529411764706,0.331534985568976,0.356747051504049
"156","G10343","SWE","2080033090",FALSE,FALSE,0,64,0.727272727272727,-0.167715368048941,-0.516707826210704
"157","G10345","SWE","2080033020",FALSE,FALSE,0,256,0.695652173913043,-0.331720315131155,0.753771995919846
"158","G10347","SWE","2080033020",FALSE,FALSE,0,121,0.611111111111111,-0.770205763927353,-0.139534129015697
"159","G1035","USA","7080047060",FALSE,TRUE,0,562,0.855263157894737,0.496127024663772,2.77859921244041
"160","G10350","SWE","2080033080",FALSE,FALSE,0,256,0.8,0.209496010240152,0.753771995919846
"161","G10352","SWE","2080033080",FALSE,FALSE,0,400,0.833333333333333,0.382384558622653,1.70663186251776
"162","G10353","SWE","2080033080",FALSE,FALSE,0,289,0.85,0.468828832813904,0.972135715348535
"163","G10355","SWE","2080033080",FALSE,FALSE,0,196,0.56,-1.03530153811385,0.356747051504049
"164","G10358","SWE","2080033080",FALSE,FALSE,0,169,0.8125,0.27432921588359,0.178085826516941
"165","G10359","SWE","2080033080",FALSE,FALSE,0,256,0.695652173913043,-0.331720315131155,0.753771995919846
"166","G1036","USA","7080047060",FALSE,FALSE,0,505,0.908045977011494,0.769893373962741,2.4014255152454
"167","G10361","SWE","2080033080",FALSE,FALSE,0,281,0.486498814085021,-1.41652693823085,0.919199056093095
"168","G10362","SWE","2080033090",FALSE,FALSE,0,250,0.71875,-0.211919826442194,0.714069501478267
"169","G10363","SWE","2080033020",TRUE,TRUE,1,441,0.875,0.598495244100779,1.97793224120189
"170","G10365","SWE","2080033090",FALSE,FALSE,0,144,0.705882352941177,-0.278659891075144,0.0126587663436921
"171","G10367","SWE","2080033080",FALSE,FALSE,0,256,0.842105263157895,0.427881545039101,0.753771995919846
"172","G1037","USA","7080047060",FALSE,TRUE,0,562,0.855263157894737,0.496127024663772,2.77859921244041
"173","G10371","SWE","2080032670",FALSE,FALSE,0,64,0.615384615384615,-0.748040565416776,-0.516707826210704
"174","G10373","SWE","2080033090",FALSE,FALSE,0,36,0.857142857142857,0.505876378895868,-0.701986133604742
"175","G10375","SWE","2080033080",FALSE,FALSE,0,194,0.692564745196324,-0.347733747203196,0.34351288669019
"176","G1038","USA","7080047060",TRUE,FALSE,0,502,0.829594017094017,0.362990009925899,2.38157426802461
"177","G10380","SWE","2080033090",FALSE,TRUE,0,169,0.590181660899654,-0.878759631892433,0.178085826516941
